"","V1","V2"
"265",96,NA
"266",102,NA
"267",100,NA
"268",102,NA
"269",95,NA
"270",102,NA
"271",3,12
"272",7,13
"273",92,NA
"274",97,NA
"275",99,NA
"276",97,NA
"277",92,NA
"278",98,NA
"279",99,NA
"280",97,NA
"281",98,NA
"282",13,19
"283",99,NA
"284",100,NA
"285",102,NA
"286",97,NA
"287",95,NA
"288",12,18
"289",19,27
"290",98,NA
"291",99,NA
"292",98,NA
"293",98,NA
"294",92,NA
"295",102,NA
"296",98,NA
"297",102,NA
"298",97,NA
"299",95,NA
"300",96,NA
"301",68,99
"302",92,NA
"303",92,NA
"304",102,NA
"305",96,NA
"306",NA,4
"307",95,NA
"308",95,NA
"309",98,NA
"310",95,NA
"311",103,NA
"312",96,NA
"313",97,NA
"314",97,NA
"315",103,NA
"316",40,43
"317",103,NA
"318",98,NA
"319",95,NA
"320",97,NA
"321",95,NA
"322",93,NA
"323",103,NA
"324",96,NA
"325",77,98
"326",88,NA
"327",62,70
"328",84,NA
"329",96,NA
"330",97,NA
"331",96,NA
"332",81,92
"333",7,13
"334",96,NA
"335",98,NA
"336",103,NA
"337",NA,9
"338",102,NA
"339",92,NA
"340",88,NA
"341",102,NA
"342",97,NA
"343",96,NA
"344",96,NA
"345",98,NA
"346",97,NA
"347",97,NA
"348",68,83
"349",92,NA
"350",96,NA
"351",83,91
"352",96,NA
"353",103,NA
"354",102,NA
"355",96,NA
"356",10,11
"357",76,88
"358",102,NA
"359",99,NA
"360",96,NA
"361",92,NA
"362",93,NA
"363",95,NA
"364",12,19
"365",99,NA
"366",102,NA
"367",98,NA
"368",97,NA
"369",93,NA
"370",93,NA
"371",92,NA
"372",103,NA
"373",95,NA
"374",95,NA
"375",97,NA
"376",96,NA
"377",99,103
"378",89,97
"379",95,NA
"380",61,70
"381",92,NA
"382",96,NA
"383",98,NA
"384",97,NA
"385",97,NA
"386",98,NA
"387",97,NA
"388",92,NA
"389",103,NA
"390",92,NA
"391",102,NA
"392",96,NA
"393",99,NA
"394",92,NA
"395",95,NA
"396",47,54
"397",95,NA
"398",NA,14
"399",103,NA
"400",96,NA
"401",97,NA
"402",7,11
"403",92,NA
"404",103,NA
"405",96,NA
"406",98,NA
"407",95,NA
"408",97,NA
"409",95,NA
"410",95,NA
"411",89,96
"412",97,NA
"413",96,NA
"414",96,NA
"415",5,13
"416",100,NA
"417",98,NA
"418",97,NA
"419",99,NA
"420",95,NA
"421",103,NA
"422",76,84
"423",95,NA
"424",102,NA
"425",95,NA
"426",103,NA
"427",99,NA
"428",95,NA
"429",98,NA
"430",99,NA
"431",102,NA
"432",99,NA
"433",97,NA
"434",102,NA
"435",102,NA
"436",96,NA
"437",102,NA
"438",102,NA
"439",92,NA
"440",99,NA
"441",99,NA
"442",98,NA
"443",97,NA
"444",103,NA
"445",97,NA
"446",4,19
"447",78,NA
"448",14,26
"449",103,NA
"450",92,NA
"451",23,26
"452",97,NA
"453",8,12
"454",97,NA
"455",96,NA
"456",99,NA
"457",103,NA
"458",84,92
"459",95,NA
"460",100,NA
"461",95,NA
"462",92,NA
"463",14,18
"464",92,NA
"465",99,NA
"466",97,NA
"467",98,NA
"468",92,NA
"469",98,NA
"470",99,NA
"471",53,67
"472",26,33
"473",98,NA
"474",14,20
"475",13,18
"476",92,NA
"477",92,NA
"478",21,26
"479",98,NA
"480",76,88
"481",98,NA
"482",92,NA
"483",98,NA
"484",102,NA
"485",92,NA
"486",55,63
"487",97,NA
"488",102,NA
"489",99,NA
"490",97,NA
"491",97,NA
"492",96,NA
"493",103,NA
"494",103,NA
"495",98,NA
"496",96,NA
"497",102,NA
"498",5,13
"499",77,88
"500",102,NA
"501",103,NA
"502",98,NA
"503",96,NA
"504",96,NA
"505",102,NA
"506",100,NA
"507",102,NA
"508",99,NA
"509",98,NA
"510",96,NA
"511",98,NA
"512",11,18
"513",99,NA
"514",93,NA
"515",92,NA
"516",99,NA
"517",91,96
"518",95,NA
"519",63,74
"520",96,NA
"521",95,NA
"522",99,NA
"523",103,NA
"524",95,NA
"525",26,40
"526",98,NA
"527",103,NA
"528",103,NA
"529",98,NA
"530",103,NA
"531",102,NA
"532",11,21
"533",92,NA
"534",68,82
"535",99,NA
"536",6,12
"537",93,NA
"538",95,NA
"539",77,89
"540",97,NA
"541",48,57
"542",103,NA
"543",103,NA
"544",97,NA
"545",100,NA
"546",102,NA
"547",102,NA
"548",103,NA
"549",95,NA
"550",98,NA
"551",99,NA
"552",99,NA
"553",92,NA
"554",97,NA
"555",102,NA
"556",97,NA
"557",98,NA
"558",102,NA
"559",89,96
"560",98,NA
"561",102,NA
"562",97,NA
"563",69,76
"564",103,NA
"565",96,NA
"566",95,NA
"567",98,NA
"568",98,NA
"569",103,NA
"570",40,47
"571",95,NA
"572",98,NA
"573",96,NA
"574",96,NA
"575",92,NA
"576",98,NA
"577",97,NA
"578",92,NA
"579",95,NA
"580",95,NA
"581",95,NA
"582",103,NA
"583",95,NA
"584",93,NA
"585",92,NA
"586",99,NA
"587",98,NA
"588",95,NA
"589",98,NA
"590",95,NA
"591",97,NA
"592",92,NA
"593",97,NA
"594",99,NA
"595",92,NA
"596",96,NA
"597",96,NA
"598",96,NA
"599",93,NA
"600",96,NA
"601",102,NA
"602",96,NA
"603",99,NA
"604",95,NA
"605",103,NA
"606",96,NA
"607",100,NA
"608",98,NA
"609",98,NA
"610",92,NA
"611",83,84
"612",98,NA
"613",93,NA
"614",11,21
"615",98,NA
"616",103,NA
"617",97,NA
"618",96,NA
"619",96,NA
"620",92,NA
"621",91,NA
"622",99,NA
"623",100,NA
"624",103,NA
"625",84,NA
"626",13,18
"627",102,NA
"628",96,NA
"629",97,NA
"630",78,89
"631",NA,11
"632",103,NA
"633",NA,9
"634",99,NA
"635",92,NA
"636",95,NA
"637",12,18
"638",95,NA
"639",98,NA
"640",92,NA
"641",95,NA
"642",95,NA
"643",93,NA
"644",95,NA
"645",103,NA
"646",97,NA
"647",13,18
"648",97,NA
"649",8,11
"650",96,NA
"651",18,26
"652",55,62
"653",12,19
"654",95,NA
"655",92,NA
"656",57,64
"657",95,NA
"658",96,NA
"659",96,NA
"660",11,18
"661",11,19
"662",97,NA
"663",89,NA
"664",96,NA
"665",98,NA
"666",99,NA
"667",96,NA
"668",99,NA
"669",5,12
"670",95,NA
"671",102,NA
"672",12,18
"673",97,NA
"674",99,NA
"675",103,NA
"676",97,NA
"677",88,NA
"678",102,NA
"679",96,NA
"680",99,NA
"681",97,NA
"682",97,NA
"683",95,NA
"684",55,61
"685",97,NA
"686",18,26
"687",92,NA
"688",97,NA
"689",98,NA
"690",95,NA
"691",91,99
"692",103,NA
"693",98,NA
"694",98,NA
"695",95,NA
"696",98,NA
"697",98,NA
"698",27,33
"699",27,39
"700",93,NA
"701",92,NA
"702",92,NA
"703",69,76
"704",103,NA
"705",99,NA
"706",95,NA
"707",95,NA
"708",92,NA
"709",95,NA
"710",97,NA
"711",98,NA
"712",97,NA
"713",102,NA
"714",97,NA
"715",95,NA
"716",92,NA
"717",97,NA
"718",100,NA
"719",91,NA
"720",11,21
"721",97,NA
"722",97,NA
"723",95,NA
"724",81,95
"725",99,NA
"726",97,NA
"727",97,NA
"728",95,NA
"729",60,91
"730",100,NA
"731",103,NA
"732",97,NA
"733",98,NA
"734",102,NA
"735",100,NA
"736",103,NA
"737",96,NA
"738",99,NA
"739",93,NA
"740",99,NA
"741",102,NA
"742",97,NA
"743",63,70
"744",99,NA
"745",103,NA
"746",97,NA
"747",96,NA
"748",88,NA
"749",103,NA
"750",102,NA
"751",97,NA
"752",98,NA
"753",99,NA
"754",97,NA
"755",76,91
"756",98,NA
"757",95,NA
"758",95,NA
"759",78,91
"760",96,NA
"761",95,NA
"762",92,NA
"763",96,NA
"764",53,61
"765",81,88
"766",102,NA
"767",12,26
"768",83,99
"769",92,NA
"770",100,NA
"771",98,NA
"772",102,NA
"773",29,34
"774",98,NA
"775",100,NA
"776",95,NA
"777",96,NA
"778",81,NA
"779",97,NA
"780",95,NA
"781",95,NA
"782",95,NA
"783",98,NA
"784",99,NA
"785",97,NA
"786",97,NA
"787",99,NA
"788",77,91
"789",NA,18
"790",96,102
"791",97,NA
"792",95,NA
"793",95,NA
"794",99,NA
"795",92,NA
"796",96,NA
"797",95,NA
"798",95,NA
"799",100,NA
"800",1,20
"801",95,NA
"802",96,NA
"803",13,21
"804",92,NA
"805",92,NA
"806",99,NA
"807",96,NA
"808",95,NA
"809",98,NA
"810",95,NA
"811",99,NA
"812",33,41
"813",99,NA
"814",102,NA
"815",81,84
"816",95,NA
"817",10,13
"818",95,NA
"819",92,NA
"820",98,NA
"821",95,NA
"822",97,NA
"823",NA,13
"824",99,NA
"825",8,13
"826",98,NA
"827",96,NA
"828",95,NA
"829",96,NA
"830",95,NA
"831",99,NA
"832",92,NA
"833",99,NA
"834",98,NA
"835",97,NA
"836",92,NA
"837",97,NA
"838",92,NA
"839",97,NA
"840",97,NA
"841",92,NA
"842",95,NA
"843",95,NA
"844",98,NA
"845",5,19
"846",92,NA
"847",6,18
"848",103,NA
"849",97,NA
"850",96,NA
"851",96,NA
"852",95,NA
"853",95,NA
"854",96,NA
"855",97,NA
"856",99,NA
"857",102,NA
"858",28,40
"859",95,NA
"860",NA,2
"861",97,NA
"862",100,NA
"863",92,NA
"864",95,NA
"865",97,NA
"866",96,NA
"867",88,NA
"868",95,NA
"869",102,NA
"870",97,NA
"871",95,NA
"872",98,NA
"873",99,NA
"874",34,46
"875",95,NA
"876",98,NA
"877",95,NA
"878",102,NA
"879",97,NA
"880",13,18
"881",96,102
"882",13,20
"883",103,NA
"884",88,NA
"885",95,NA
"886",91,98
"887",92,NA
"888",92,NA
"889",96,NA
"890",98,NA
"891",96,NA
"892",98,NA
"893",97,NA
"894",95,NA
"895",92,NA
"896",92,NA
"897",103,NA
"898",20,26
"899",96,NA
"900",99,NA
"901",92,NA
"902",96,NA
"903",97,NA
"904",96,NA
"905",96,NA
"906",99,NA
"907",96,NA
"908",91,NA
"909",96,NA
"910",102,NA
"911",96,NA
"912",98,NA
"913",93,NA
"914",13,18
"915",98,NA
"916",46,54
"917",97,NA
"918",103,NA
"919",97,NA
"920",96,NA
"921",47,54
"922",89,NA
"923",97,NA
"924",102,NA
"925",99,NA
"926",103,NA
"927",102,NA
"928",95,NA
"929",96,NA
"930",96,NA
"931",102,NA
"932",13,20
"933",95,NA
"934",99,NA
"935",96,NA
"936",92,NA
"937",83,91
"938",21,27
"939",98,NA
"940",97,NA
"941",98,NA
"942",96,NA
"943",93,NA
"944",99,NA
"945",21,26
"946",11,40
"947",102,NA
"948",96,NA
"949",97,NA
"950",99,NA
"951",13,22
"952",97,NA
"953",NA,3
"954",96,NA
"955",96,NA
"956",98,NA
"957",100,NA
"958",98,NA
"959",95,NA
"960",102,NA
"961",97,NA
"962",96,NA
"963",95,NA
"964",99,NA
"965",102,NA
"966",102,NA
"967",95,NA
"968",97,NA
"969",27,40
"970",96,NA
"971",95,NA
"972",97,NA
"973",92,NA
"974",92,NA
"975",100,NA
"976",95,NA
"977",97,NA
"978",83,88
"979",76,89
"980",97,NA
"981",97,NA
"982",95,NA
"983",97,NA
"984",99,NA
"985",96,NA
"986",88,NA
"987",96,NA
"988",97,NA
"989",NA,1
"990",96,NA
"991",93,NA
"992",99,NA
"993",102,NA
"994",103,NA
"995",93,NA
"996",100,NA
"997",83,91
"998",98,NA
"999",97,NA
"1000",95,NA
"1001",11,21
"1002",96,NA
"1003",102,NA
"1004",92,NA
"1005",96,NA
"1006",92,NA
"1007",95,NA
"1008",89,99
"1009",92,NA
"1010",97,NA
"1011",14,19
"1012",98,NA
"1013",92,NA
"1014",92,NA
"1015",98,NA
"1016",100,NA
"1017",11,20
"1018",95,NA
"1019",99,NA
"1020",95,NA
"1021",98,NA
"1022",NA,15
"1023",98,NA
"1024",48,55
"1025",95,NA
"1026",92,NA
"1027",95,NA
"1028",92,NA
"1029",95,NA
"1030",103,NA
"1031",100,NA
"1032",93,NA
"1033",84,95
"1034",96,NA
"1035",84,NA
"1036",97,NA
"1037",103,NA
"1038",98,NA
"1039",97,NA
"1040",97,NA
"1041",102,NA
"1042",99,NA
"1043",92,NA
"1044",92,NA
"1045",53,61
"1046",54,67
"1047",98,NA
"1048",102,NA
"1049",102,NA
"1050",99,NA
"1051",97,NA
"1052",102,NA
"1053",88,97
"1054",98,NA
"1055",98,NA
"1056",91,NA
"1057",68,82
"1058",96,NA
"1059",NA,14
"1060",96,NA
"1061",102,NA
"1062",76,93
"1063",97,NA
"1064",98,NA
"1065",95,NA
"1066",103,NA
"1067",95,NA
"1068",95,NA
"1069",98,NA
"1070",95,NA
"1071",19,26
"1072",92,NA
"1073",96,NA
"1074",97,NA
"1075",95,NA
"1076",96,NA
"1077",99,NA
"1078",102,NA
"1079",77,NA
"1080",96,NA
"1081",103,NA
"1082",96,NA
"1083",103,NA
"1084",92,NA
"1085",96,NA
"1086",99,NA
"1087",12,19
"1088",19,26
"1089",96,NA
"1090",97,NA
"1091",102,NA
"1092",13,19
"1093",13,27
"1094",98,NA
"1095",99,NA
"1096",96,NA
"1097",97,NA
"1098",97,NA
"1099",12,23
"1100",96,NA
"1101",97,NA
"1102",99,NA
"1103",97,NA
"1104",97,NA
"1105",55,64
"1106",95,NA
"1107",103,NA
"1108",81,91
"1109",96,NA
"1110",102,NA
"1111",97,NA
"1112",92,NA
"1113",102,NA
"1114",98,NA
"1115",97,NA
"1116",82,88
"1117",97,NA
"1118",98,NA
"1119",96,NA
"1120",9,15
"1121",97,NA
"1122",95,NA
"1123",97,NA
"1124",92,NA
"1125",92,NA
"1126",11,18
"1127",76,88
"1128",103,NA
"1129",95,NA
"1130",103,NA
"1131",11,19
"1132",103,NA
"1133",92,NA
"1134",4,13
"1135",99,NA
"1136",99,NA
"1137",12,20
"1138",95,104
"1139",97,NA
"1140",96,NA
"1141",97,NA
"1142",99,NA
"1143",102,NA
"1144",8,19
"1145",97,NA
"1146",98,NA
"1147",NA,2
"1148",98,NA
"1149",97,NA
"1150",95,NA
"1151",82,NA
"1152",103,NA
"1153",96,NA
"1154",97,NA
"1155",102,NA
"1156",93,NA
"1157",100,NA
"1158",NA,2
"1159",102,NA
"1160",99,NA
"1161",92,NA
"1162",91,97
"1163",102,NA
"1164",95,NA
"1165",98,NA
"1166",92,NA
"1167",98,NA
"1168",95,NA
"1169",100,NA
"1170",98,NA
"1171",95,NA
"1172",95,NA
"1173",97,NA
"1174",97,NA
"1175",102,NA
"1176",92,NA
"1177",NA,15
"1178",95,NA
"1179",99,NA
"1180",97,NA
"1181",95,NA
"1182",99,NA
"1183",97,NA
"1184",76,89
"1185",97,NA
"1186",99,NA
"1187",98,NA
"1188",97,NA
"1189",92,NA
"1190",98,NA
"1191",85,95
"1192",102,NA
"1193",97,NA
"1194",98,NA
"1195",NA,3
"1196",92,NA
"1197",92,NA
"1198",97,NA
"1199",99,NA
"1200",96,NA
"1201",91,NA
"1202",102,NA
"1203",99,NA
"1204",97,NA
"1205",97,NA
"1206",95,NA
"1207",92,NA
"1208",97,NA
"1209",98,NA
"1210",99,NA
"1211",12,18
"1212",4,12
"1213",93,NA
"1214",97,NA
"1215",92,NA
"1216",92,NA
"1217",96,NA
"1218",98,NA
"1219",99,NA
"1220",97,NA
"1221",92,NA
"1222",102,NA
"1223",96,NA
"1224",98,NA
"1225",97,NA
"1226",8,12
"1227",103,NA
"1228",102,NA
"1229",92,NA
"1230",92,NA
"1231",53,62
"1232",92,NA
"1233",98,NA
"1234",98,NA
"1235",102,NA
"1236",96,NA
"1237",102,NA
"1238",97,NA
"1239",97,NA
"1240",95,NA
"1241",95,NA
"1242",97,NA
"1243",97,NA
"1244",95,NA
"1245",98,NA
"1246",92,NA
"1247",102,NA
"1248",99,NA
"1249",99,NA
"1250",99,NA
"1251",92,NA
"1252",92,NA
"1253",95,NA
"1254",96,NA
"1255",6,11
"1256",12,18
"1257",98,NA
"1258",92,NA
"1259",89,98
"1260",83,NA
"1261",96,NA
"1262",102,NA
"1263",92,NA
"1264",95,NA
"1265",100,NA
"1266",98,NA
"1267",97,NA
"1268",NA,13
"1269",96,NA
"1270",14,20
"1271",98,NA
"1272",99,NA
"1273",97,NA
"1274",92,NA
"1275",95,NA
"1276",4,14
"1277",9,13
"1278",92,NA
"1279",93,NA
"1280",97,NA
"1281",103,NA
"1282",95,NA
"1283",99,NA
"1284",99,NA
"1285",99,NA
"1286",95,NA
"1287",26,34
"1288",97,NA
"1289",93,NA
"1290",97,NA
"1291",103,NA
"1292",99,NA
"1293",99,NA
"1294",99,NA
"1295",89,92
"1296",97,NA
"1297",102,NA
"1298",56,67
"1299",99,NA
"1300",98,NA
"1301",97,NA
"1302",95,NA
"1303",102,NA
"1304",32,33
"1305",95,NA
"1306",95,NA
"1307",97,NA
"1308",96,NA
"1309",96,NA
"1310",95,NA
"1311",83,NA
"1312",96,NA
"1313",92,NA
"1314",103,NA
"1315",92,NA
"1316",13,19
"1317",97,NA
"1318",92,NA
"1319",4,14
"1320",92,NA
"1321",96,NA
"1322",100,NA
"1323",82,91
"1324",96,NA
"1325",92,NA
"1326",95,NA
"1327",97,NA
"1328",100,NA
"1329",102,NA
"1330",8,14
"1331",99,NA
"1332",92,NA
"1333",96,NA
"1334",93,NA
"1335",102,NA
"1336",6,13
"1337",92,NA
"1338",76,85
"1339",23,26
"1340",98,NA
"1341",102,NA
"1342",102,NA
"1343",91,NA
"1344",96,NA
"1345",92,NA
"1346",98,NA
"1347",97,NA
"1348",98,NA
"1349",96,NA
"1350",99,NA
"1351",76,91
"1352",89,95
"1353",98,NA
"1354",96,NA
"1355",97,NA
"1356",96,NA
"1357",102,NA
"1358",99,NA
"1359",99,NA
"1360",97,NA
"1361",103,NA
"1362",97,NA
"1363",95,NA
"1364",103,NA
"1365",92,NA
"1366",92,NA
"1367",92,NA
"1368",92,NA
"1369",95,NA
"1370",98,NA
"1371",84,97
"1372",96,NA
"1373",2,14
"1374",95,NA
"1375",95,NA
"1376",97,NA
"1377",99,NA
"1378",76,88
"1379",98,NA
"1380",96,NA
"1381",99,NA
"1382",NA,3
"1383",97,NA
"1384",83,91
"1385",97,NA
"1386",92,NA
"1387",98,NA
"1388",96,NA
"1389",103,NA
"1390",97,NA
"1391",13,19
"1392",92,NA
"1393",92,NA
"1394",92,NA
"1395",102,NA
"1396",97,NA
"1397",99,NA
"1398",95,NA
"1399",102,NA
"1400",98,NA
"1401",12,20
"1402",18,27
"1403",99,NA
"1404",96,NA
"1405",77,89
"1406",99,NA
"1407",100,NA
"1408",5,14
"1409",99,NA
"1410",84,NA
"1411",92,NA
"1412",99,NA
"1413",97,NA
"1414",21,27
"1415",92,NA
"1416",96,NA
"1417",95,NA
"1418",46,56
"1419",99,NA
"1420",92,NA
"1421",95,NA
"1422",103,NA
"1423",99,NA
"1424",102,NA
"1425",93,NA
"1426",96,NA
"1427",96,NA
"1428",95,NA
"1429",96,NA
"1430",96,NA
"1431",99,NA
"1432",96,NA
"1433",98,NA
"1434",96,NA
"1435",92,NA
"1436",92,NA
"1437",103,NA
"1438",21,27
"1439",13,21
"1440",95,NA
"1441",98,NA
"1442",92,NA
"1443",92,NA
"1444",97,NA
"1445",95,NA
"1446",96,NA
"1447",97,NA
"1448",97,NA
"1449",97,NA
"1450",96,NA
"1451",97,NA
"1452",92,NA
"1453",98,NA
"1454",102,NA
"1455",91,NA
"1456",95,NA
"1457",97,NA
"1458",93,NA
"1459",98,NA
"1460",102,NA
"1461",92,NA
"1462",97,NA
"1463",95,NA
"1464",93,NA
"1465",99,NA
"1466",102,NA
"1467",97,NA
"1468",92,NA
"1469",97,NA
"1470",92,NA
"1471",96,NA
"1472",98,NA
"1473",99,NA
"1474",98,NA
"1475",99,NA
"1476",95,NA
"1477",99,NA
"1478",103,NA
"1479",93,NA
"1480",97,NA
"1481",92,NA
"1482",96,NA
"1483",NA,13
"1484",95,NA
"1485",99,NA
"1486",89,NA
"1487",92,NA
"1488",92,NA
"1489",82,84
"1490",97,NA
"1491",12,21
"1492",98,NA
"1493",95,NA
"1494",97,NA
"1495",5,18
"1496",102,NA
"1497",93,NA
"1498",98,NA
"1499",97,NA
"1500",32,33
"1501",99,NA
"1502",95,NA
"1503",96,NA
"1504",98,NA
"1505",95,NA
"1506",98,NA
"1507",99,NA
"1508",98,NA
"1509",95,NA
"1510",96,NA
"1511",92,NA
"1512",92,NA
"1513",96,NA
"1514",95,NA
"1515",8,18
"1516",92,NA
"1517",92,NA
"1518",97,NA
"1519",99,NA
"1520",98,NA
"1521",102,NA
"1522",98,NA
"1523",98,NA
"1524",NA,11
"1525",97,NA
"1526",96,NA
"1527",95,NA
"1528",99,NA
"1529",95,NA
"1530",95,NA
"1531",93,NA
"1532",97,NA
"1533",97,NA
"1534",99,NA
"1535",69,83
"1536",99,NA
"1537",98,NA
"1538",103,NA
"1539",97,NA
"1540",97,NA
"1541",102,NA
"1542",97,NA
"1543",95,NA
"1544",95,NA
"1545",71,77
"1546",98,NA
"1547",96,NA
"1548",55,65
"1549",97,NA
"1550",96,NA
"1551",97,NA
"1552",99,NA
"1553",77,91
"1554",97,NA
"1555",97,NA
"1556",74,84
"1557",103,NA
"1558",96,NA
"1559",95,NA
"1560",95,NA
"1561",92,NA
"1562",11,18
"1563",92,NA
"1564",99,NA
"1565",92,NA
"1566",99,NA
"1567",98,NA
"1568",92,NA
"1569",97,NA
"1570",103,NA
"1571",95,NA
"1572",99,NA
"1573",102,NA
"1574",96,NA
"1575",95,NA
"1576",99,NA
"1577",95,NA
"1578",92,NA
"1579",96,NA
"1580",3,12
"1581",96,NA
"1582",53,62
"1583",95,NA
"1584",98,NA
"1585",96,NA
"1586",96,NA
"1587",19,32
"1588",99,NA
"1589",97,NA
"1590",100,NA
"1591",98,NA
"1592",77,91
"1593",98,NA
"1594",98,NA
"1595",98,NA
"1596",98,NA
"1597",92,NA
"1598",92,NA
"1599",99,NA
"1600",97,NA
"1601",100,NA
"1602",98,NA
"1603",97,NA
"1604",103,NA
"1605",96,NA
"1606",95,NA
"1607",62,74
"1608",98,NA
"1609",95,NA
"1610",92,NA
"1611",89,NA
"1612",99,NA
"1613",92,NA
"1614",97,NA
"1615",9,12
"1616",18,30
"1617",98,NA
"1618",98,NA
"1619",99,NA
"1620",99,NA
"1621",95,NA
"1622",92,NA
"1623",103,NA
"1624",13,18
"1625",99,NA
"1626",97,NA
"1627",97,NA
"1628",95,NA
"1629",97,NA
"1630",92,NA
"1631",102,NA
"1632",98,NA
"1633",97,NA
"1634",102,NA
"1635",9,19
"1636",102,NA
"1637",97,NA
"1638",96,NA
"1639",96,NA
"1640",96,NA
"1641",96,NA
"1642",98,NA
"1643",98,NA
"1644",19,26
"1645",93,NA
"1646",96,NA
"1647",95,NA
"1648",97,NA
"1649",96,NA
"1650",96,NA
"1651",99,NA
"1652",102,NA
"1653",99,NA
"1654",92,NA
"1655",95,NA
"1656",83,89
"1657",99,NA
"1658",98,NA
"1659",96,NA
"1660",96,NA
"1661",98,NA
"1662",NA,3
"1663",92,NA
"1664",96,NA
"1665",98,NA
"1666",95,NA
"1667",96,NA
"1668",98,NA
"1669",92,NA
"1670",95,NA
"1671",97,NA
"1672",27,46
"1673",96,NA
"1674",98,NA
"1675",97,NA
"1676",95,NA
"1677",95,NA
"1678",95,NA
"1679",97,NA
"1680",98,NA
"1681",92,NA
"1682",83,NA
"1683",93,NA
"1684",96,NA
"1685",98,NA
"1686",92,NA
"1687",96,NA
"1688",95,NA
"1689",92,NA
"1690",96,NA
"1691",102,NA
